iter	RMSE
0	10842.88145
1	10099.22322
2	9449.429651
3	8868.531017
4	8374.207511
5	7860.152591
6	7399.388755
7	7018.649868
8	6675.719725
9	6361.077313
10	6088.837825
11	5843.695806
12	5643.843481
13	5471.92859
14	5322.110926
15	5228.656614
16	5115.798586
17	5031.371767
18	4941.787124
19	4859.993969
20	4797.974999
21	4731.026472
22	4679.011165
23	4626.42931
24	4591.33245
25	4550.894167
26	4519.04626
27	4489.742585
28	4454.317438
29	4429.297477
30	4405.927804
31	4379.708927
32	4370.429072
33	4356.364572
34	4352.452763
35	4337.386574
36	4321.386845
37	4312.660767
38	4300.219869
39	4284.787054
40	4274.847309
41	4261.707792
42	4249.197496
43	4230.706013
44	4223.975598
45	4211.196677
46	4199.009035
47	4194.028289
48	4186.861245
49	4177.404337
50	4164.280869
51	4150.900514
52	4140.253034
53	4125.937657
54	4112.334003
55	4103.914971
56	4095.817682
57	4091.577546
58	4083.522796
59	4075.692286
60	4067.628873
61	4061.819244
62	4055.423221
63	4048.567735
64	4042.363319
65	4038.04879
66	4028.134977
67	4020.675106
68	4013.624067
69	4009.04285
70	4003.935829
71	3999.127403
72	3994.982175
73	3988.175725
74	3981.046406
75	3976.511392
76	3973.707661
77	3961.122119
78	3956.494702
79	3945.753586
80	3938.708021
81	3929.851127
82	3925.30464
83	3920.362683
84	3914.987626
85	3910.99974
86	3908.271607
87	3898.80176
88	3894.958203
89	3892.252575
90	3889.916138
91	3884.538646
92	3881.700802
93	3876.453193
94	3872.140894
95	3869.029134
96	3862.022055
97	3858.279361
98	3852.686184
99	3849.754189
