iter	Passed	Remaining
0	142	14063
1	147	7209
2	151	4912
3	157	3782
4	161	3072
5	164	2578
6	169	2253
7	174	2002
8	178	1806
9	181	1637
10	186	1505
11	190	1398
12	195	1306
13	200	1229
14	204	1159
15	205	1080
16	209	1025
17	211	965
18	218	930
19	222	888
20	225	848
21	230	817
22	233	782
23	236	750
24	239	719
25	241	688
26	244	661
27	247	636
28	250	612
29	252	589
30	255	568
31	258	548
32	259	527
33	261	507
34	262	487
35	265	471
36	267	455
37	269	440
38	272	425
39	274	411
40	276	397
41	278	384
42	280	371
43	282	359
44	284	348
45	287	337
46	290	327
47	292	317
48	295	307
49	297	297
50	300	288
51	303	279
52	306	271
53	309	263
54	311	255
55	314	247
56	316	239
57	319	231
58	321	223
59	324	216
60	326	208
61	328	201
62	330	194
63	333	187
64	335	180
65	337	173
66	339	167
67	341	160
68	343	154
69	345	148
70	347	142
71	349	136
72	351	130
73	353	124
74	355	118
75	357	112
76	359	107
77	361	101
78	362	96
79	365	91
80	367	86
81	369	81
82	371	76
83	373	71
84	375	66
85	377	61
86	378	56
87	380	51
88	382	47
89	384	42
90	385	38
91	387	33
92	389	29
93	391	24
94	392	20
95	394	16
96	396	12
97	397	8
98	399	4
99	401	0
